Bus_id,Start_Point,Destination,Booking_id,Customer_id,Date_of_journey,Fare
NT_02_DELBOM_114,Delhi,Mumbai,B_430420,CUS_000165,4/2/2020,950
ST_03_BOMCHD_142,Mumbai,Chandigarh,B_920764,CUS_000384,4/5/2020,359
VT_04_JPCHD_322,Jaipur,Chandigarh,B_931340,CUS_000284,6/2/2020,530
MT_05_JPDEL_414,Jaipur,Delhi,B_251265,CUS_000252,3/5/2020,950
GL_06_CHDPN_411,Chandigarh,Pune,B_619922,CUS_000324,3/1/2020,1054
VBS_07_PNDEL_053,Pune,Delhi,B_934822,CUS_000162,3/2/2020,580
AT_08_PNBOM_331,Pune,Mumbai,B_874306,CUS_000654,3/5/2020,950
TT_09_DELPN_155,Delhi,Pune,B_892219,CUS_000253,3/7/2020,950
NT_03_BOMDEL_056,Mumbai,Delhi,B_531480,CUS_000293,3/9/2020,550
ST_04_CHDDEL_038,Chandigarh,Delhi,B_869369,CUS_000694,3/16/2020,770
